ID,Array
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.3881317890172014e-21, 1.6940658945086007e-21, 2.710505431213761e-20, 1.6940658945086007e-21, 2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0, 1.6940658945086007e-21]"
1,"[-1.7763568394002505e-15, 0.0, 0.0, 0.0, 3.552713678800501e-15, 0.0, 7.105427357601002e-15, 0.0, 0.0, 8.881784197001252e-16, 0.0, 5.421010862427522e-20, -4.336808689942018e-19, 2.168404344971009e-19, -3.3881317890172014e-21, -1.6940658945086007e-21, -2.710505431213761e-20, 0.0, 4.336808689942018e-19, -1.3552527156068805e-20]"
2,"[0.0, -2.710505431213761e-20, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 4.336808689942018e-19, 0.0, 0.0, -2.168404344971009e-19, 1.0842021724855044e-19, 0.0, -8.470329472543003e-22, 0.0, -1.0587911840678754e-22, 2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.470329472543003e-22, 0.0, 0.0, 1.0587911840678754e-22, -3.3881317890172014e-21, 1.0842021724855044e-19, 0.0, 2.6469779601696886e-23, 0.0, 6.617444900424222e-24, 1.3552527156068805e-20, -1.6940658945086007e-21, 1.6940658945086007e-21]"
4,"[0.0, 0.0, 0.0, 2.168404344971009e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, -1.6940658945086007e-21, -2.710505431213761e-20, 0.0, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 0.0]"
5,"[0.0, 7.105427357601002e-15, 0.0, -8.881784197001252e-16, -3.552713678800501e-15, 8.881784197001252e-16, 0.0, -8.881784197001252e-16, 0.0, 4.440892098500626e-16, -4.336808689942018e-19, 0.0, 8.673617379884035e-19, 0.0, 0.0, 0.0, 0.0, 0.0, -4.336808689942018e-19, 0.0]"
6,"[0.0, 0.0, 0.0, -8.881784197001252e-16, 0.0, 0.0, 0.0, 8.881784197001252e-16, 0.0, -4.440892098500626e-16, 4.336808689942018e-19, 2.710505431213761e-20, 4.336808689942018e-19, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 8.673617379884035e-19, 4.336808689942018e-19, 0.0]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.734723475976807e-18, 0.0, 6.938893903907228e-18, 0.0, 2.168404344971009e-19, 0.0, -3.3881317890172014e-21, 1.0842021724855044e-19, 1.6940658945086007e-21, -1.0587911840678754e-22, 0.0, -3.3881317890172014e-21, 1.3552527156068805e-20, 0.0, 0.0]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.235164736271502e-22, 0.0, 0.0, 3.3881317890172014e-21, 0.0, 6.617444900424222e-24, 3.3881317890172014e-21, 0.0, -5.421010862427522e-20, -1.6940658945086007e-21]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.734723475976807e-18, 0.0, 6.938893903907228e-18, 0.0, 2.168404344971009e-19, 1.3552527156068805e-20, 3.3881317890172014e-21, 0.0, -3.3881317890172014e-21, 0.0, -5.293955920339377e-23, 1.6940658945086007e-21, 1.0842021724855044e-19, 0.0, 0.0]"
10,"[0.0, 0.0, 0.0, -1.0842021724855044e-19, 0.0, 0.0, 1.3877787807814457e-17, 0.0, 0.0, 0.0, -1.0842021724855044e-19, 0.0, -4.235164736271502e-22, 0.0, 2.6469779601696886e-23, -4.235164736271502e-22, 0.0, 2.710505431213761e-20, 0.0, -4.235164736271502e-22]"
11,"[0.0, 0.0, 0.0, 3.469446951953614e-18, 0.0, 0.0, -1.1102230246251565e-16, -5.551115123125783e-17, 0.0, 0.0, 0.0, 0.0, 5.421010862427522e-20, 0.0, 8.470329472543003e-22, -2.6469779601696886e-23, 0.0, 2.710505431213761e-20, -6.776263578034403e-21, 4.235164736271502e-22]"
12,"[0.0, 0.0, 0.0, 0.0, -8.673617379884035e-19, 0.0, 0.0, -1.734723475976807e-18, 0.0, 0.0, 1.6940658945086007e-21, -6.776263578034403e-21, 1.3552527156068805e-20, -6.776263578034403e-21, -5.293955920339377e-23, -5.293955920339377e-23, -3.3881317890172014e-21, -8.470329472543003e-22, 5.421010862427522e-20, 4.235164736271502e-22]"
13,"[-7.105427357601002e-15, 0.0, 1.4210854715202004e-14, 3.552713678800501e-15, 1.4210854715202004e-14, -3.552713678800501e-15, 0.0, 0.0, 0.0, 1.7763568394002505e-15, -4.336808689942018e-19, -2.710505431213761e-20, 8.673617379884035e-19, -2.168404344971009e-19, 6.776263578034403e-21, 0.0, -5.421010862427522e-20, 0.0, -4.336808689942018e-19, 0.0]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.734723475976807e-18, -1.3877787807814457e-17, 0.0, 0.0, 0.0, -8.470329472543003e-22, -6.776263578034403e-21, 8.470329472543003e-22, 1.6940658945086007e-21, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,"[0.0, -6.938893903907228e-18, 0.0, 8.673617379884035e-19, 0.0, 6.938893903907228e-18, 0.0, 0.0, 1.0842021724855044e-19, 0.0, -1.3552527156068805e-20, 0.0, -1.3552527156068805e-20, 0.0, 2.6469779601696886e-23, 1.0587911840678754e-22, 8.470329472543003e-22, 5.421010862427522e-20, 0.0, 0.0]"
16,"[0.0, 0.0, 0.0, 0.0, 6.938893903907228e-18, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, -1.0842021724855044e-19, -1.3552527156068805e-20, 0.0, 0.0, -8.470329472543003e-22, 5.293955920339377e-23, 0.0, 0.0, 3.3881317890172014e-21, 0.0]"
17,"[0.0, 6.938893903907228e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3552527156068805e-20, -4.235164736271502e-22, 0.0, 1.3552527156068805e-20, 0.0, 0.0, -4.235164736271502e-22, 0.0, -1.3552527156068805e-20, 0.0]"
18,"[0.0, 0.0, -3.469446951953614e-18, 0.0, 0.0, 0.0, 0.0, 2.168404344971009e-19, 0.0, 0.0, 5.421010862427522e-20, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 0.0, -1.3552527156068805e-20, 0.0, -2.117582368135751e-22]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3552527156068805e-20, -5.293955920339377e-23, -2.6469779601696886e-23, -1.6940658945086007e-21, -1.3552527156068805e-20, -2.710505431213761e-20, -2.6469779601696886e-23]"
21,"[0.0, 6.938893903907228e-18, 0.0, 8.673617379884035e-19, 0.0, 6.938893903907228e-18, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20, 3.3881317890172014e-21, -2.710505431213761e-20, -8.470329472543003e-22, 4.235164736271502e-22, -6.617444900424222e-24, 0.0, 0.0, -2.710505431213761e-20, -8.470329472543003e-22]"
22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.336808689942018e-19, 0.0, 0.0, -1.0842021724855044e-19, 1.3552527156068805e-20, 4.235164736271502e-22, 0.0, 0.0, 0.0, -2.6469779601696886e-23, 0.0, 1.0842021724855044e-19, 1.6940658945086007e-21, 0.0]"
23,"[1.734723475976807e-18, 1.734723475976807e-18, 0.0, 2.7755575615628914e-17, -2.7755575615628914e-17, 0.0, -2.7755575615628914e-17, -1.1102230246251565e-16, 2.168404344971009e-19, 0.0, 2.168404344971009e-19, 0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0, -3.3881317890172014e-21]"
24,"[0.0, 6.938893903907228e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6469779601696886e-23, 0.0, 2.710505431213761e-20, 0.0, 0.0, 2.117582368135751e-22, 0.0, -2.710505431213761e-20, 0.0, 0.0]"
25,"[1.734723475976807e-18, -1.734723475976807e-18, 0.0, -1.0842021724855044e-19, 0.0, 8.470329472543003e-22, 1.734723475976807e-18, 0.0, -2.710505431213761e-20, 0.0, -3.3881317890172014e-21, 3.3881317890172014e-21, 5.421010862427522e-20, 6.776263578034403e-21, 0.0, -4.235164736271502e-22, 0.0, 2.710505431213761e-20, -3.3881317890172014e-21, 1.6940658945086007e-21]"
26,"[0.0, 0.0, 0.0, 8.673617379884035e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3552527156068805e-20, -1.3552527156068805e-20, 0.0, 0.0, -8.470329472543003e-22, -1.0842021724855044e-19, 0.0, 8.470329472543003e-22]"
27,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.421010862427522e-20, 0.0, 0.0, 0.0, 1.3234889800848443e-23, 0.0, -6.776263578034403e-21, 4.235164736271502e-22, 0.0, -3.3881317890172014e-21, 5.421010862427522e-20, 0.0, 1.6940658945086007e-21]"
28,"[0.0, 6.938893903907228e-18, 0.0, 1.0842021724855044e-19, 0.0, 0.0, 6.938893903907228e-18, -3.469446951953614e-18, 0.0, 0.0, 3.3881317890172014e-21, 6.776263578034403e-21, 0.0, -1.3552527156068805e-20, -1.3234889800848443e-23, -1.0587911840678754e-22, 0.0, 0.0, -3.3881317890172014e-21, 0.0]"
29,"[-2.842170943040401e-14, -1.1368683772161603e-13, -2.842170943040401e-14, 0.0, 0.0, 2.842170943040401e-14, 1.1368683772161603e-13, 0.0, 3.552713678800501e-15, 0.0, 0.0, 0.0, 0.0, 2.168404344971009e-19, 0.0, -1.6940658945086007e-21, 0.0, 4.336808689942018e-19, 0.0, 0.0]"
30,"[-2.842170943040401e-14, -1.1368683772161603e-13, -2.842170943040401e-14, 0.0, 0.0, 2.842170943040401e-14, 1.1368683772161603e-13, 0.0, 3.552713678800501e-15, 0.0, -2.168404344971009e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.168404344971009e-19, 0.0, -8.470329472543003e-22]"
31,"[0.0, 8.673617379884035e-19, 0.0, 5.421010862427522e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0842021724855044e-19, 1.3552527156068805e-20, 2.117582368135751e-22, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0]"
32,"[0.0, 0.0, 0.0, 3.3881317890172014e-21, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, -4.235164736271502e-22, -1.6940658945086007e-21, 1.6940658945086007e-21, 0.0, 1.6940658945086007e-21]"
33,"[0.0, 0.0, 1.734723475976807e-18, 0.0, 0.0, 0.0, 1.734723475976807e-18, 0.0, 0.0, -4.336808689942018e-19, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 0.0, -2.117582368135751e-22, 0.0, 5.421010862427522e-20, 0.0]"
34,"[0.0, 6.938893903907228e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0842021724855044e-19, -8.470329472543003e-22, 5.421010862427522e-20, 6.776263578034403e-21, 0.0, -2.117582368135751e-22, 8.470329472543003e-22, -1.0842021724855044e-19, 0.0, 0.0]"
35,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.168404344971009e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20, -4.235164736271502e-22, 2.117582368135751e-22, 0.0, 5.421010862427522e-20, 0.0, -8.470329472543003e-22]"
36,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20, 0.0, -2.710505431213761e-20, 3.3881317890172014e-21, 5.421010862427522e-20, 5.421010862427522e-20, 0.0, 0.0, 0.0, -5.421010862427522e-20, 0.0, -1.0587911840678754e-22]"
37,"[0.0, 0.0, 0.0, -6.938893903907228e-18, 1.734723475976807e-18, 0.0, 0.0, 1.3877787807814457e-17, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 0.0, 5.421010862427522e-20, -8.470329472543003e-22, 2.117582368135751e-22, 1.6940658945086007e-21, 0.0, -1.3552527156068805e-20, 0.0]"
38,"[0.0, -1.734723475976807e-18, 0.0, 0.0, 0.0, -6.938893903907228e-18, 0.0, -3.469446951953614e-18, 0.0, 0.0, 2.168404344971009e-19, 1.6940658945086007e-21, -1.3552527156068805e-20, -3.3881317890172014e-21, 0.0, 0.0, -2.117582368135751e-22, 8.470329472543003e-22, 1.6940658945086007e-21, 0.0]"
39,"[-6.938893903907228e-18, 0.0, 0.0, 2.7755575615628914e-17, -1.1102230246251565e-16, 0.0, 0.0, 1.1102230246251565e-16, 0.0, -3.469446951953614e-18, 0.0, 6.776263578034403e-21, -2.710505431213761e-20, -2.710505431213761e-20, -8.470329472543003e-22, -4.235164736271502e-22, 0.0, 0.0, 1.0842021724855044e-19, 0.0]"
40,"[1.7763568394002505e-15, 0.0, 0.0, 0.0, 0.0, -1.7763568394002505e-15, 7.105427357601002e-15, 0.0, 2.220446049250313e-16, 8.881784197001252e-16, -8.673617379884035e-19, -2.710505431213761e-20, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 0.0, 8.673617379884035e-19, 0.0, 0.0]"
41,"[0.0, 0.0, 0.0, 2.168404344971009e-19, 0.0, -5.421010862427522e-20, 0.0, 0.0, -2.710505431213761e-20, 0.0, 0.0, 1.6940658945086007e-21, 0.0, -2.117582368135751e-22, 0.0, 2.117582368135751e-22, 1.0587911840678754e-22, 2.710505431213761e-20, 2.710505431213761e-20, -2.117582368135751e-22]"
42,"[0.0, 0.0, 0.0, -2.168404344971009e-19, -8.673617379884035e-19, 0.0, 0.0, 0.0, 2.168404344971009e-19, 0.0, 1.0842021724855044e-19, 3.3881317890172014e-21, -2.710505431213761e-20, 0.0, 4.235164736271502e-22, 4.235164736271502e-22, 0.0, 0.0, 0.0, 1.6940658945086007e-21]"
43,"[0.0, 0.0, 0.0, 8.673617379884035e-19, 0.0, 6.938893903907228e-18, 0.0, 0.0, 2.710505431213761e-20, 0.0, 0.0, 0.0, 5.421010862427522e-20, 3.3881317890172014e-21, 1.0587911840678754e-22, 4.235164736271502e-22, -1.0587911840678754e-22, -1.3552527156068805e-20, 2.710505431213761e-20, 4.235164736271502e-22]"
